Non-Counted Role Played,Count #
Jean Dujardin,George,37
Vanessa Bayer,Joan of Arc,37
Abby Elliott,French girl,37
Taran Killam,Francois,37
Bobby Moynihan,Stewart,37
Nasim Pedrad,French girl,37
Andy Samberg,Phantom,37
Kristen Wiig,Peppy,37
Bill Hader,Clint Eastwood,37
Zooey Deschanel,Marla Sneeds,37
Taran Killam,reporter,37
Bobby Moynihan,reporter,37
Jason Sudeikis,Johnny,37
Kristen Wiig,Jillian,37
Bill Hader,Clint Eastwood,37
Nasim Pedrad,Arianna Huffington,37
Andy Samberg,Nicolas Cage,37
Zooey Deschanel,Mary-Kate Olsen,37
Abby Elliott,Zooey Deschanel,37
Taran Killam,Michael Cera,37
Kristen Wiig,Bjork,37
Bill Hader,James,37
Zooey Deschanel,Wendy,37
Kristen Wiig,Jolene,37
Zooey Deschanel,Danielle,37
Abby Elliott,pager,37
Taran Killam,Duck Hunt gun,37
Nasim Pedrad,LeapFrog,37
Andy Samberg,Jacob,37
Jason Sudeikis,remote control car,37
Kristen Wiig,label maker,37
Zooey Deschanel,Bethany,37
Fred Armisen,The Duke of Grambling,37
Jay Pharoah,One-Tooth Thomas,37
Andy Samberg,Dick Idiot,37
Kristen Wiig,Margaret,37
Bill Hader,Reagatron 3000,37
Taran Killam,guard,37
Bobby Moynihan,Newt Gingrich,37
Jay Pharoah,guard,37
Jason Sudeikis,Mitt Romney,37
Kenan Thompson,Herman Cain,37
Kristen Wiig,Callista Gingrich,37
Fred Armisen,Leslie Burns,37
Vanessa Bayer,Bridget,37
Andy Samberg,Dr. Matthews,37
Kenan Thompson,Big Ronnie,37
Kristen Wiig,Denise,37
Channing Tatum,Matthew McConaughey,37
Fred Armisen,band member,37
Vanessa Bayer,Emily,37
Bill Hader,Colonel Nasty,37
Bobby Moynihan,Atlanta Horns member,37
Nasim Pedrad,Chris,37
Jay Pharoah,Atlanta Horns member,37
Kenan Thompson,Cee Lo Green,37
Channing Tatum,Dan Patrick,37
Bill Hader,Cris Collinsworth,37
Bobby Moynihan,director,37
Jay Pharoah,Tony Dungy,37
Jason Sudeikis,Al Michaels,37
Kenan Thompson,Rodney Harrison,37
Channing Tatum,Buster Allright,37
Bill Hader,Lyle Round,37
Nasim Pedrad,contestant,37
Andy Samberg,contestant,37
Kristen Wiig,Mindy Elise Grayson,37
Bobby Moynihan,Guy Fieri,37
Kristen Wiig,Lana Del Rey,37
Channing Tatum,Caden,37
Vanessa Bayer,Aunt Janine,37
Abby Elliott,Jordana,37
Taran Killam,caterer,37
Nasim Pedrad,Rebecca,37
Andy Samberg,Rabbi Hurwitz,37
Kenan Thompson,Billy Ocean impersonator,37
Channing Tatum,Tom Brady,37
Bobby Moynihan,Janet Peckinpaugh,37
Kristen Wiig,Winona,37
Channing Tatum,Nick Erswet,37
Taran Killam,Chief Pumps,37
Bobby Moynihan,Dumb Dick,37
Jay Pharoah,Keith Wide,37
Jason Sudeikis,Tommy,37
Abby Elliott,Becky,37
Jason Sudeikis,Mitt Romney,37
Paul Brittain,Harry Pothead,37
Bill Hader,"Mike ""The Situation"" Sorrentino",37
Taran Killam,Dumbledore,37
Bobby Moynihan,"Nicole ""Snooki"" Polizzi",37
Jason Sudeikis,Ricky Gervais,37
Daniel Radcliffe,Boogie,37
Bill Hader,Mr. Evenings,37
Kristen Wiig,Target lady,37
Daniel Radcliffe,Brad Lewis,37
Vanessa Bayer,Kristina Nichols,37
Bill Hader,Roger Knight,37
Taran Killam,Liam Terry,37
Jason Sudeikis,Taylor Dawn,37
Daniel Radcliffe,Dave,37
Fred Armisen,hobo,37
Abby Elliott,Mindy,37
Bill Hader,hobo,37
Bobby Moynihan,hobo,37
Mike O'Brien,hobo,37
Jay Pharoah,hobo,37
Kenan Thompson,hobo,37
Daniel Radcliffe,Freddie Two-Shoes,37
Taran Killam,singer,37
Bobby Moynihan,Luke McCafferty,37
Jason Sudeikis,Joe Biden,37
Kenan Thompson,singer,37
Kristen Wiig,singer,37
Daniel Radcliffe,Harry Potter,37
Vanessa Bayer,Luna Lovegood,37
Paul Brittain,Malfoy,37
Abby Elliott,Hermione,37
Bill Hader,Professor Snape,37
Taran Killam,Ron,37
Bobby Moynihan,Hagrid,37
Kristen Wiig,Minerva,37
Vanessa Bayer,best friend from growing up,37
Fred Armisen,best friend from growing up,37
Daniel Radcliffe,Casey Anthony's dog,37
Daniel Radcliffe,Brandon,37
Vanessa Bayer,audience member,37
Paul Brittain,host,37
Abby Elliott,audience member,37
Bill Hader,Uncle Dylan,37
Taran Killam,audience member,37
Bobby Moynihan,audience member,37
Jay Pharoah,audience member,37
Kenan Thompson,audience member,37
Kristen Wiig,Glenda Okones,37
Kristen Wiig,Glenda Okones,37
Kristen Wiig,Glenda Okones,37
Kristen Wiig,interviewer,37
Andy Samberg,Rick Santorum,37
Charles Barkley,Shaquille O'Neal,37
Bill Hader,Ernie Johnson Jr.,37
Jay Pharoah,Kenny Smith,37
Kenan Thompson,Charles Barkley,37
Fred Armisen,Dylan,37
Vanessa Bayer,Casey,37
Abby Elliott,Ashley,37
Taran Killam,Trevor Vandercronk,37
Jay Pharoah,"Michael ""Baby Dice"" Ellington",37
Kenan Thompson,Rashad Evory,37
Kristen Wiig,Kayla Vandercronk,37
Charles Barkley,Joann,37
Paul Brittain,Chad,37
Kristen Wiig,Michele Bachmann,37
Fred Armisen,Nicholas Fehn,37
Bobby Moynihan,Drunk Uncle,37
Paul Brittain,Cecil,37
Bill Hader,Turlington,37
Andy Samberg,Stephen,37
Jason Sudeikis,Gary,37
Charles Barkley,Dong Corleone,37
Vanessa Bayer,Susan St. Nips,37
Abby Elliott,Crystal Butt,37
Abby Elliott,Misty Bush,37
Bill Hader,Ricky Stroker,37
Taran Killam,Tristan Fun,37
Bobby Moynihan,Ron Jeremy,37
Nasim Pedrad,Alison Plow,37
Jay Pharoah,Tony Dingle,37
Andy Samberg,Travis,37
Jason Sudeikis,Mike,37
Kristen Wiig,Kristy Bends,37
Charles Barkley,"Marvin ""Gay"" Jackson",37
Andy Samberg,Convoluted Jerry,37
Charles Barkley,Teklameck,37
Fred Armisen,chief,37
Paul Brittain,calendar,37
Bill Hader,chief,37
Bobby Moynihan,chief,37
Andy Samberg,chief,37
Kenan Thompson,Kukuya,37
Jimmy Fallon,Pat Sullivan,37
Amy Poehler,Patrice Donovan,37
Rachel Dratch,Denise McDenna,37
Jimmy Fallon,Regis Philbin,37
Bobby Moynihan,Mr. Farmer,37
Nasim Pedrad,Hoda Kotb,37
Kristen Wiig,Kathie Lee Gifford,37
Jimmy Fallon,Justin Bieber,37
Jimmy Fallon,Russell Brand,37
Jimmy Fallon,Sting,37
Fred Armisen,Thom Yorke,37
Abby Elliott,Ke$ha,37
Taran Killam,Scott McCreery,37
Nasim Pedrad,M.I.A.,37
Jay Pharoah,Kanye West,37
Kristen Wiig,Taylor Swift,37
Andy Samberg,Jimmy Fallon,37
Jimmy Fallon,Freggie,37
Andy Samberg,Maxwell,37
Kristen Wiig,Lilia,37
Fred Armisen,Tommy Palmese,37
Vanessa Bayer,audience member,37
Bill Hader,audience member,37
Bobby Moynihan,audience member,37
Andy Samberg,Nicolas Cage,37
Paul Brittain,director,37
Jimmy Fallon,Ludwig van Beethoven,37
Chris Kattan,Octo Olrich,37
Horatio Sanz,Victor Heinz,37
Fred Armisen,Casper Niles,37
Vanessa Bayer,castrato,37
Paul Brittain,"Rolf ""The Hitman"" Hitler",37
Abby Elliott,castrato,37
Bill Hader,Gayhard Munch,37
Taran Killam,Gregor Lindt,37
Bobby Moynihan,Voldemort Robin,37
Nasim Pedrad,castrato,37
Andy Samberg,Franz Liebsch,37
Jason Sudeikis,Herman Frump,37
Kenan Thompson,B.B. King,37
Kristen Wiig,Triangle Sally,37
Jimmy Fallon,Jack Jacobson,37
Bill Hader,audience member,37
Taran Killam,actor,37
Andy Samberg,Frank Densby,37
Jason Sudeikis,actor,37
Kenan Thompson,puppeteer,37
Kristen Wiig,audience member,37
Taran Killam,Tim Tebow,37
Jay Pharoah,Brian Dawkins,37
Andy Samberg,Matt Prater,37
Jason Sudeikis,Jesus,37
Kenan Thompson,Chris Clark,37
Darrell Hammond,Donald Trump,37
Bobby Moynihan,Newt Gingrich,37
Andy Samberg,Rick Santorum,37
Kristen Wiig,Greta Van Susteren,37
Bill Hader,Tom,37
Andy Samberg,Kathy-Beth Kerry,37
Kristen Wiig,Janet Frankel,37
Katy Perry,Kirstie Davenport,37
Fred Armisen,Jonathan's girlfriend,37
Vanessa Bayer,Rebecca Stern-Marcowitz-san,37
Taran Killam,Jonathan Cavanaugh-san,37
Jason Sudeikis,Mark Kaufman,37
Katy Perry,Christina Aguilera,37
Fred Armisen,Tony Sirico,37
Fred Armisen,Penny Marshall,37
Paul Brittain,Osama bin Laden,37
Abby Elliott,Kirsten Dunst,37
Bill Hader,Alan Alda,37
Taran Killam,Ashton Kutcher,37
Bobby Moynihan,Rico Rodriguez,37
Jay Pharoah,Cuba Gooding Jr.,37
Jason Sudeikis,Philip Seymour Hoffman,37
Kenan Thompson,Al Roker,37
Kristen Wiig,Drew Barrymore,37
Kristen Wiig,Kim Cattrall,37
Paul Brittain,teller,37
Kristen Wiig,Kalle Jakkolla,37
Matt Damon,drug addict,37
Val Kilmer,brilliant lunatic,37
James Anderson,caveman,37
Vanessa Bayer,Amelia Earhart,37
Nasim Pedrad,Marilyn Monroe,37
John Solomon,Abraham Lincoln,37
Kent Sublette,caveman,37
Katy Perry,Florence Welch,37
Fred Armisen,Randy Newman,37
Bill Hader,Clint Eastwood,37
Andy Samberg,Chris Barron,37
Jason Sudeikis,Meat Loaf,37
Kristen Wiig,Gwen Stefani,37
Kristen Wiig,Rebecca Larue,37
Alec Baldwin,Captain Steve Rogers,37
Bill Hader,Stefon,37
Katy Perry,Pippa Middleton,37
Fred Armisen,Queen Elizabeth,37
Abby Elliott,Kate Middleton,37
Bill Hader,Prince Philip,37
Taran Killam,butler,37
Andy Samberg,Prince William,37
Katy Perry,Kelly O'Donnell,37
Taran Killam,Jim VandeHei,37
Kenan Thompson,Al Sharpton,37
Katy Perry,Becky,37
Fred Armisen,drummer,37
Bobby Moynihan,Mike,37
Jason Sudeikis,singer,37
Kenan Thompson,bassist,37
Fred Armisen,Barack Obama,37
Abby Elliott,Roz,37
Bill Hader,Tex,37
Jay Pharoah,judge,37
Kenan Thompson,Chance,37
Steve Buscemi,Jeff,37
Maya Rudolph,Whitney Houston,37
Vanessa Bayer,Miley Cyrus,37
Bobby Moynihan,Dale,37
Jason Sudeikis,Billy Ray Cyrus,37
Kenan Thompson,Bob Miley,37
Steve Buscemi,Jim,37
Paul Brittain,Aquaman,37
Andy Samberg,Batman,37
Steve Buscemi,Diego Bops,37
Bill Hader,Keith Morrison,37
Jason Sudeikis,coroner,37
Kristen Wiig,Martha Valentine,37
Steve Buscemi,Coach Bert,37
Bill Hader,Brent Harrison,37
Taran Killam,Ed Markham,37
Bobby Moynihan,reporter,37
Nasim Pedrad,reporter,37
Jay Pharoah,Darius Bogart,37
Jason Sudeikis,Larry Stevens,37
Kenan Thompson,Agent Dauz,37
Kenan Thompson,Herman Cain,37
Bobby Moynihan,Drunk Uncle,37
Steve Buscemi,Arnie,37
Vanessa Bayer,Sandra Snells,37
Kristen Wiig,Sue,37
Steve Buscemi,Dustin Van Camp,37
Paul Brittain,Ed Vincent,37
Steve Buscemi,Sheila,37
Kristen Wiig,Sheila,37
Taran Killam,Jeff,37
Jay Pharoah,aide,37
Jason Sudeikis,Mitt Romney,37
Kristen Wiig,Deborah Singer,37
Jason Segel,Antonio Banderas,37
Fred Armisen,George Lopez,37
Paul Brittain,Michael Gelman,37
Abby Elliott,Zooey Deschanel,37
Bill Hader,Garrison Keillor,37
Taran Killam,Ashton Kutcher,37
Bobby Moynihan,Rosie O'Donnell,37
Nasim Pedrad,Kelly Ripa,37
Jay Pharoah,Denzel Washington,37
Jason Sudeikis,Ricky Gervais,37
Kenan Thompson,Charles Barkley,37
Kristen Wiig,Kathie Lee Gifford,37
Jason Segel,Pete Kemper,37
Vanessa Bayer,Stacy Kemper,37
Jason Segel,Jacob Vogelcheck,37
Paul Rudd,Austin Vogelcheck,37
Fred Armisen,Mr. Vogelcheck,37
Vanessa Bayer,Lucy,37
Bill Hader,Dwayne Vogelcheck,37
Jay Pharoah,homeless man,37
Andy Samberg,Pete,37
Kristen Wiig,Mrs. Vogelcheck,37
Jason Segel,Louis,37
Fred Armisen,Mitch Gurst,37
Vanessa Bayer,Marilyn Shemp,37
Bobby Moynihan,Dr. Gil Peabody,37
Nasim Pedrad,Madge Ortiz,37
Jay Pharoah,Taffy Peterson,37
Kenan Thompson,emcee,37
Kristen Wiig,Janelle Mumrot,37
Jason Segel,Men In Vests member,37
Florence Welch,Flow Diggity Flow Doubt,37
Vanessa Bayer,B.L.T. member,37
Abby Elliott,B.L.T. member,37
Bobby Moynihan,Medium Richard,37
Nasim Pedrad,B.L.T. member,37
Jay Pharoah,Sweaty Keith,37
Andy Samberg,Cross Chris,37
Kenan Thompson,John Juan Twan,37
Kristen Wiig,Triangle Sally,37
Jason Segel,prostitute,37
Jason Segel,André the Giant,37
Jason Segel,Marshall Haynes,37
Fred Armisen,J.C.,37
Jason Sudeikis,Little Andrew,37
Kenan Thompson,Lee,37
Kristen Wiig,emcee,37
Fred Armisen,John Harwood,37
Paul Brittain,Ron Paul,37
Bill Hader,Rick Perry,37
Taran Killam,Jon Huntsman,37
Bobby Moynihan,Newt Gingrich,37
Nasim Pedrad,Maria Bartiromo,37
Andy Samberg,Rick Santorum,37
Jason Sudeikis,Mitt Romney,37
Kenan Thompson,Herman Cain,37
Kristen Wiig,Michele Bachmann,37
Emma Stone,Charlene Stumphries,37
Paul Brittain,contestant,37
Bill Hader,Lyle Round,37
Taran Killam,contestant,37
Kristen Wiig,Mindy Elise Grayson,37
Emma Stone,Cynthia Coraline Aronowitz,37
Bill Hader,Herb Welch,37
Nasim Pedrad,Wanda Ramirez,37
Jason Sudeikis,Jack Rizzoli,37
Kristen Wiig,president,37
Emma Stone,assistant,37
Jason Sudeikis,The Devil,37
Fred Armisen,Garth,37
Kristen Wiig,Kat,37
Chris Martin,Jan Pockabook,37
Emma Stone,Juliette,37
Paul Brittain,Marius,37
Abby Elliott,French girl,37
Taran Killam,Francois,37
Bobby Moynihan,Stewart,37
Nasim Pedrad,French girl,37
Andy Samberg,Quasimodo,37
Emma Stone,Wallis,37
Fred Armisen,Tony,37
Vanessa Bayer,Kendra,37
Abby Elliott,Maria,37
Taran Killam,stripper,37
Nasim Pedrad,Mrs. Malone,37
Andy Samberg,stripper,37
Kristen Wiig,bride,37
Emma Stone,coworker,37
Fred Armisen,janitor,37
Bill Hader,coworker,37
Bobby Moynihan,window washer,37
Nasim Pedrad,Karen,37
Andy Samberg,coworker,37
Kenan Thompson,coworker,37
Kristen Wiig,coworker,37
Emma Stone,Colleen,37
Vanessa Bayer,iPad,37
Jay Pharoah,digital camera,37
Andy Samberg,Jacob,37
Jason Sudeikis,video game controller,37
Kristen Wiig,Droid,37
Fred Armisen,Muammer Kaddafi,37
Charlie Day,Ken Harris,37
Vanessa Bayer,Kourtney Kardashian,37
Abby Elliott,Khloé Kardashian,37
Taran Killam,Bruce Jenner,37
Nasim Pedrad,Kim Kardashian,37
Jay Pharoah,Lamar Odom,37
Andy Samberg,Kris Humphries,37
Kristen Wiig,Kris Jenner,37
Charlie Day,Kenny Hayes,37
Bill Hader,Dr. Mehmet Oz,37
Charlie Day,Dionysus,37
Adam Levine,Yanni,37
Fred Armisen,Klaus,37
Vanessa Bayer,Artemis,37
Paul Brittain,Hermes,37
Abby Elliott,Aphrodite,37
Bill Hader,Hades,37
Taran Killam,Ares,37
Bobby Moynihan,Demeter,37
Nasim Pedrad,Athena,37
Jay Pharoah,Apollo,37
Andy Samberg,Poseidon,37
Jason Sudeikis,Zeus,37
Kenan Thompson,Eros,37
Kristen Wiig,Hera,37
Charlie Day,Freakasaurus,37
Paul Brittain,Atlanta Horns member,37
Abby Elliott,Jessica Arnin,37
Bill Hader,Colonel Nasty,37
Bobby Moynihan,Atlanta Horns member,37
Jay Pharoah,Atlanta Horns member,37
Andy Samberg,Tom Arnin,37
Kenan Thompson,Cee Lo Green,37
Charlie Day,"Dirk ""Jack-Knife"" Cane",37
Adam Levine,"Adam ""Hawk Attack"" Levine",37
Fred Armisen,"Jorge ""That Ain't A/This Is A"" Miguel",37
Vanessa Bayer,"Addi ""News Flash"" Sweeney",37
Paul Brittain,"Goran ""Funky Boy"" Bogdan",37
Abby Elliott,Fur Coat Rhonda,37
Bill Hader,"Rick ""Watch It Or I'll S*** Your C***!"" Tipenski",37
Taran Killam,The Squeefy Brothers,37
Seth Meyers,Boston Powers,37
Bobby Moynihan,Slappy Pappy,37
Nasim Pedrad,"Bonnie ""My Vagina"" Carolina",37
Jay Pharoah,Black Stewie Griffin,37
Andy Samberg,"Gavin ""What If It Had Boobs"" Speiller",37
Jason Sudeikis,"Chris ""Who Said That"" Bruss",37
Kenan Thompson,"David ""Beef Jelly"" Winfield",37
Kristen Wiig,"Shania ""In These Shoes?"" Tunt",37
Bill Hader,Rick Perry,37
Kristen Wiig,Judy Grimes,37
Charlie Day,Terry,37
Paul Brittain,marker,37
Taran Killam,Miles,37
Kenan Thompson,boom mic operator,37
Kristen Wiig,director,37
Charlie Day,detective,37
Bill Hader,police officer,37
Bobby Moynihan,murderer,37
Jason Sudeikis,Dan Owens,37
Fred Armisen,Mike Bloomberg,37
Abby Elliott,Hanna Garis,37
Bill Hader,audience member,37
Nasim Pedrad,audience member,37
Andy Samberg,audience member,37
Anna Faris,Maria Montoyez,37
Fred Armisen,Manuel Ortiz,37
Vanessa Bayer,Brianna Espinal,37
Paul Brittain,Benny,37
Bill Hader,Osnar Jimenez,37
Bobby Moynihan,Gabriela Mariela Montoyez Gutierrez,37
Kenan Thompson,salesman,37
Kristen Wiig,Cassandra Jimenez,37
Anna Faris,Mary Jo Beth Jojo,37
Vanessa Bayer,Mary Jo Williams,37
Abby Elliott,Tanya,37
Bill Hader,Vince Blight,37
Andy Samberg,Boy Tanya,37
Kristen Wiig,JoBeth Anderson,37
Kristen Wiig,sponsor,37
Vanessa Bayer,Sandy Schaub,37
Paul Brittain,Ron Paul,37
Bill Hader,Rick Perry,37
Bobby Moynihan,Newt Gingrich,37
Andy Samberg,Rick Santorum,37
Jason Sudeikis,Mitt Romney,37
Kenan Thompson,Herman Cain,37
Kristen Wiig,Michele Bachmann,37
Bobby Moynihan,Anthony Crispino,37
Drake,teenager dressed as a werewolf,37
Jay Pharoah,teenager dressed as a werewolf,37
Vanessa Bayer,Kendra,37
Andy Samberg,waiter,37
Anna Faris,Jennifer Homstead,37
Fred Armisen,Jonathan's girlfriend,37
Vanessa Bayer,Rebecca Stern-Marcowitz-san,37
Taran Killam,Jonathan Cavanaugh-san,37
Jason Sudeikis,Mark Kaufman,37
Anna Faris,Debbie,37
Paul Brittain,Cecil,37
Bill Hader,Turlington,37
Andy Samberg,Stephen,37
Jason Sudeikis,Gary,37
Anna Faris,Danielle,37
Bill Hader,owner,37
Vanessa Bayer,reporter,37
Paul Brittain,reporter,37
Bill Hader,reporter,37
Taran Killam,reporter,37
Bobby Moynihan,Chris Christie,37
Nasim Pedrad,reporter,37
Jason Sudeikis,Mitt Romney,37
Kristen Wiig,reporter,37
Paul Brittain,pickle,37
Bobby Moynihan,bagel,37
Andy Samberg,Jewish Willy Wonka,37
Ben Stiller,Chris Brooks,37
Fred Armisen,Lou,37
Vanessa Bayer,Gretchen Carlson,37
Taran Killam,Steve Doocy,37
Bobby Moynihan,Brian Kilmeade,37
Jason Sudeikis,Hank Williams Jr.,37
Ben Stiller,Mandy Patinkin,37
Hugh Jackman,Daniel Radcliffe,37
Abby Elliott,Nancy Grace,37
Bill Hader,Clint Eastwood,37
Bobby Moynihan,Richie,37
Andy Samberg,Hugh Jackman,37
Vanessa Bayer,Gwen,37
Paul Brittain,police officer,37
Taran Killam,Hansen,37
Bobby Moynihan,police officer,37
Jason Sudeikis,Hank Williams Jr.,37
Kristen Wiig,Nan Washingtom,37
Bill Hader,Stefon,37
Ben Stiller,Derek Zoolander,37
Ben Stiller,Mr. Jurgens,37
Abby Elliott,Becky,37
Andy Samberg,Patrick,37
Kristen Wiig,Shana,37
Ben Stiller,Eckhart Tolle,37
Bobby Moynihan,Ass Dan,37
Nasim Pedrad,Lil Blaster,37
Jay Pharoah,MC George Castanza,37
Jason Sudeikis,DJ Super Soak,37
Ben Stiller,Bruce Springsteen,37
Fred Armisen,Steve Van Zandt,37
Mike O'Brien,Max Weinberg,37
Ben Stiller,dealer,37
Fred Armisen,coach,37
Taran Killam,"Brad Pitt , coach",37
Bobby Moynihan,"Jonah Hill , manager",37
Melissa McCarthy,Cousin Gert,37
Fred Armisen,Lawrence Welk,37
Vanessa Bayer,Toni,37
Abby Elliott,Shirley,37
Taran Killam,Eugene Dooalotts,37
Nasim Pedrad,Nancy,37
Kristen Wiig,Dooneese,37
Melissa McCarthy,Arlene,37
Bill Hader,Kyle,37
Jay Pharoah,delivery man,37
Jason Sudeikis,Tim,37
Kenan Thompson,coworker,37
Fred Armisen,blue man,37
Paul Brittain,blue man,37
Bill Hader,police officer,37
Andy Samberg,police officer,37
Jason Sudeikis,criminal,37
Kenan Thompson,criminal,37
Melissa McCarthy,Jennifer Evans,37
Bill Hader,Tommy,37
Taran Killam,Carl Durbin,37
Bobby Moynihan,Matthew Knox,37
Nasim Pedrad,Mrs. Heffernan,37
Jason Sudeikis,Jeff,37
Vanessa Bayer,theatregoer,37
Abby Elliott,actress,37
Taran Killam,theatregoer,37
Bobby Moynihan,actor,37
Nasim Pedrad,actress,37
Jay Pharoah,Chris Rock,37
Kenan Thompson,theatregoer,37
Vanessa Bayer,best friend from growing up,37
Fred Armisen,best friend from growing up,37
Kenan Thompson,Tyler Perry,37
Melissa McCarthy,Linda,37
Abby Elliott,Sue,37
Taran Killam,Mark,37
Bobby Moynihan,Roger,37
Melissa McCarthy,Lulu Diamonds,37
Jason Sudeikis,Robert Osborne,37
Melissa McCarthy,Lana,37
Vanessa Bayer,Tracy,37
Nasim Pedrad,Kelly,37
Andy Samberg,Don,37
Kenan Thompson,mailman,37
Kristen Wiig,Deb,37
Alec Baldwin,Rick Perry,37
Paul Brittain,Ron Paul,37
Bill Hader,Shepard Smith,37
Taran Killam,Jon Huntsman,37
Bobby Moynihan,Newt Gingrich,37
Andy Samberg,Rick Santorum,37
Jason Sudeikis,Mitt Romney,37
Kenan Thompson,Herman Cain,37
Kristen Wiig,Michele Bachmann,37
Alec Baldwin,Cornelius Devaunch,37
Fred Armisen,Chet Swanson,37
Vanessa Bayer,Susan Lucci,37
Paul Brittain,Zhuzh Sheshefsky,37
Abby Elliott,Glenda St. Jesus,37
Bill Hader,Maxwell Fisk,37
Nasim Pedrad,Michelle von Trachtenberg,37
Jason Sudeikis,Wendell Scaggs,37
Kenan Thompson,Grover Kensington,37
Kristen Wiig,Shaz Manadu,37
Alec Baldwin,Tom Flint,37
Abby Elliott,Vivian Knowles,37
Kristen Wiig,Denise Fineman,37
Alec Baldwin,Tony Bennett,37
Alec Baldwin,Paul,37
Vanessa Bayer,Madeline,37
Bill Hader,Vince Blight,37
Jason Sudeikis,contestant,37
Alec Baldwin,Al Pacino,37
Fred Armisen,Prince,37
Fred Armisen,Tony Danza,37
Paul Brittain,director,37
Bill Hader,Alan Alda,37
Bill Hader,Harvey Fierstein,37
Colin Jost,marker,37
Taran Killam,Bobcat Goldthwait,37
Taran Killam,Tom Hanks,37
Bobby Moynihan,Mindy Cohn,37
Nasim Pedrad,Paula Abdul,37
Andy Samberg,Crispin Glover,37
Kenan Thompson,Sinbad,37
Alec Baldwin,Jeff,37
Vanessa Bayer,Elaine,37
Nasim Pedrad,Raquel,37
Fred Armisen,lieutenant,37
Taran Killam,Private Scott,37
Bobby Moynihan,Thomas,37
Paul Brittain,guard,36
Taran Killam,Dominique Strauss-Kahn,36
Jay Pharoah,inmate,36
Kenan Thompson,inmate,36
Justin Timberlake,dancing mascot,36
Justin Timberlake,Dan McDonald,36
Fred Armisen,Ken Yi,36
Bill Hader,Herb Welch,36
Nasim Pedrad,Wanda Ramirez,36
Andy Samberg,motorist,36
Jason Sudeikis,Jack Rizzoli,36
Justin Timberlake,singer,36
Andy Samberg,singer,36
Andy Samberg,Nicolas Cage,36
Bill Hader,Stefon,36
Fred Armisen,Alphonse,36
Abby Elliott,Katie,36
Bill Hader,Vince Blight,36
Taran Killam,Chris Kirkpatrick,36
Justin Timberlake,robot,36
Paul Brittain,robot,36
Bill Hader,robot,36
Taran Killam,robot,36
Bobby Moynihan,Doug,36
Jason Sudeikis,Todd,36
Justin Timberlake,The Mysterious Crandell,36
Abby Elliott,contestant,36
Bill Hader,Lyle Round,36
Bobby Moynihan,Tavi,36
Kristen Wiig,Mindy Elise Grayson,36
Justin Timberlake,Robin Gibb,36
Jimmy Fallon,Barry Gibb,36
Fred Armisen,Ben Bernanke,36
Abby Elliott,Rachel Maddow,36
Kenan Thompson,Roland S. Martin,36
Fred Armisen,Barack Obama,36
Vanessa Bayer,Jennifer Kates,36
Taran Killam,T-shirt guy,36
Nasim Pedrad,T-shirt girl,36
Jason Sudeikis,Wolf Blitzer,36
Kristen Wiig,Sheila,36
Ed Helms,Captain Sexy Banjo,36
Fred Armisen,Giuseppe,36
Vanessa Bayer,Pippa,36
Bill Hader,Lindsey Buckingham,36
Nasim Pedrad,Poppy,36
Jason Sudeikis,Vance,36
Kenan Thompson,Diondre Cole,36
Kristen Wiig,singer,36
Ed Helms,Half Face,36
Jimmy Fallon,Gary,36
Jon Hamm,Ace,36
Stephen Colbert,Dr. Brainio,36
Steve Carell,Bighead,36
Steve Carell,Gary,36
Fred Armisen,Lizardo,36
Stephen Colbert,Ace,36
Bobby Moynihan,Anthony Crispino,36
Jay Pharoah,Will Smith,36
Fred Armisen,Garth,36
Kristen Wiig,Kat,36
Paul Brittain,scientist,36
Ed Helms,Skip,36
Bill Hader,Lon,36
Bobby Moynihan,marker,36
Andy Samberg,Tony Toluca,36
Kenan Thompson,Louis Armstrong,36
Kristen Wiig,Merna,36
Ed Helms,Roger Smith,36
Kristen Wiig,Ann-Margret,36
Ed Helms,candidate,36
Fred Armisen,Osama bin Laden,36
Jim Downey,translator,36
Kenan Thompson,baby,36
Kristen Wiig,baby,36
Tina Fey,Sarah Palin,36
Darrell Hammond,Donald Trump,36
Bill Hader,Shepard Smith,36
Bobby Moynihan,Newt Gingrich,36
Jason Sudeikis,Mitt Romney,36
Kenan Thompson,Jimmy McMillan,36
Kristen Wiig,Michele Bachmann,36
Tina Fey,princess,36
Fred Armisen,manta ray,36
Vanessa Bayer,salmon,36
Paul Brittain,seahorse,36
Abby Elliott,salmon,36
Kenan Thompson,Crabby,36
Robin Wright,Jenny,36
Jason Sudeikis,The Devil,36
Fred Armisen,best friend from growing up,36
Vanessa Bayer,best friend from growing up,36
Bill Hader,Stefon,36
Maya Rudolph,Leilani,36
Bill Hader,Victor,36
Kenan Thompson,Jazarus,36
Kristen Wiig,Indica,36
Tina Fey,Bedelia's mother,36
Paul Brittain,Tristan,36
Nasim Pedrad,Bedelia,36
Tina Fey,Shoshanna Bunt,36
Abby Elliott,Rosie Pope,36
Jay Pharoah,Lawrence Thompson,36
Tina Fey,Chanelda,36
Kenan Thompson,Googie Rene,36
Fred Armisen,Barack Obama,36
Helen Mirren,Helena Bonham Carter,36
Fred Armisen,Muammer Kaddafi,36
Vanessa Bayer,Kourtney Kardashian,36
Paul Brittain,James Franco,36
Paul Brittain,Johnny Depp,36
Abby Elliott,Khloé Kardashian,36
