Non-Counted Role Played,Count #
Bobby Moynihan,sensei,41
Kenan Thompson,Grigory,41
Jason Sudeikis,Celie,41
Kyle Mooney,Michael Jackson,41
Mike O'Brien,Oprah Winfrey,41
Jon Rudnitsky,Tom Cruise,41
Kenan Thompson,emcee,41
Darrell Hammond,Donald Trump,41
Kate McKinnon,Kate Bolduan,41
Cecily Strong,Scottie Nell Hughes,41
Bobby Moynihan,George R. R. Martin,41
Kenan Thompson,audience member,41
Peter Dinklage,Winnie the Pooh,41
Taran Killam,Christopher Robin,41
Kate McKinnon,Piglet,41
Bobby Moynihan,Eeyore,41
Jay Pharoah,Denny the Real,41
Kenan Thompson,Tigger,41
Peter Dinklage,Jonathan Comets,41
Bobby Moynihan,Gianni,41
Jay Pharoah,pianist,41
Peter Dinklage,Donald,41
Vanessa Bayer,Rian,41
Beck Bennett,Bill,41
Taran Killam,Astin,41
Kyle Mooney,Ethan,41
Jay Pharoah,Tony,41
Taran Killam,Iain Glen,41
Kate McKinnon,Emilia Clarke,41
Kyle Mooney,Joe Leuci,41
Bobby Moynihan,Randy Carnival,41
Jon Rudnitsky,director,41
Kenan Thompson,David Ortiz,41
Peter Dinklage,Rourke,41
Beck Bennett,Bradley,41
Taran Killam,Devon,41
Kyle Mooney,Ty,41
Jay Pharoah,Moses,41
Peter Dinklage,host,41
Vanessa Bayer,actress,41
Beck Bennett,actor,41
Aidy Bryant,actress,41
Taran Killam,Steve Tisher,41
Kate McKinnon,actress,41
Kyle Mooney,actor,41
Cecily Strong,Meredith Tisher,41
Peter Dinklage,Mr. Peterson,41
Vanessa Bayer,Mrs. Peterson,41
Taran Killam,David Thomas,41
Kate McKinnon,Lisa,41
Larry David,Bernie Sanders,41
Beck Bennett,Jake Tapper,41
Darrell Hammond,Donald Trump,41
Jay Pharoah,Ben Carson,41
Kate McKinnon,Hillary Clinton,41
Ariana Grande,Brynlee Dobbs,41
Vanessa Bayer,Jessie Kerk-Fatone,41
Taran Killam,Reece Better,41
Bobby Moynihan,Frankie Goodman,41
Ariana Grande,Corelle,41
Beck Bennett,Smith,41
Kate McKinnon,Shud,41
Cecily Strong,Oceana,41
Cecily Strong,the drunkest contestant on The Bachelor,41
Bobby Moynihan,Riblet,41
Ariana Grande,Chloe,41
Bobby Moynihan,Bradley,41
Jay Pharoah,Jay-Z,41
Kenan Thompson,manager,41
Sasheer Zamata,Danielson,41
Ariana Grande,Jennifer Lawrence,41
Beck Bennett,Javier Bardem,41
Taran Killam,Quentin Tarantino,41
Kate McKinnon,Tilda Swinton,41
Kyle Mooney,Woody Allen,41
Bobby Moynihan,Kevin Smith,41
Jay Pharoah,Idris Elba,41
Jon Rudnitsky,Martin Scorsese,41
Kenan Thompson,Steve Harvey,41
Ariana Grande,Maria,41
Vanessa Bayer,nun,41
Aidy Bryant,nun,41
Kate McKinnon,nun,41
Cecily Strong,nun,41
Sasheer Zamata,nun,41
Jason Sudeikis,Mitt Romney,41
Beck Bennett,Jake Tapper,41
Darrell Hammond,Donald Trump,41
Taran Killam,Ted Cruz,41
Kate McKinnon,Hillary Clinton,41
Bobby Moynihan,Chris Christie,41
